Series Name,"Country Name","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Population ages 55-59, male","Canada","354917","363311","371655","380669","390891","402404","413960","427616","441656","453489","462876","476119","476733","475620","477609","485195","497492","514573","533242","550063","564541","575105","582928","587946","592323","596603","598438","602690","607149","614370","619276","621742","623351","625806","632459","644618","659360","679631","704789","735876","773619","817602","866086","913061","955661","991996","1022582","1047177","1069883","1094370","1122183","1150798","1185456","1224715","1265114","1299563","1329787","1357670","1382204"
"Population ages 60-64, female","Canada","286373","292647","299284","306817","315343","324484","335020","346518","358291","370147","383305","403805","418838","434427","449408","462170","470914","476655","481286","488860","502666","519970","541878","564182","583167","596434","603412","607645","608076","610196","611043","610000","610152","611144","613047","615463","616414","618590","622222","629593","642483","660001","682430","709046","741667","779549","818666","862577","909647","955239","995832","1028478","1056756","1080728","1103918","1127051","1157927","1191294","1228384"
"Population ages 60-64, male","Canada","287392","292351","298145","305095","313118","321858","330221","339667","349475","359374","370523","387784","399743","412355","424296","433754","437583","438306","438194","441430","451173","463549","480460","498617","515399","529088","538618","547662","554715","563690","571082","575124","579922","585137","590651","595754","596648","597516","599218","604940","617023","633563","655724","682713","715780","753553","791162","832820","876935","919198","956550","991127","1020086","1043011","1065055","1089436","1121599","1160058","1204360"
"Population ages 65-69, female","Canada","244024","248187","253175","258763","264876","271509","277207","284911","294058","303835","314508","327674","335625","345041","357230","371964","385533","401011","416798","431320","444704","452926","458826","464023","472530","485819","499307","519383","541747","564896","581560","587895","589581","588300","587283","587768","586580","587129","588282","590047","592885","594737","597515","601395","609676","623527","638713","658576","684412","716182","753068","791528","836802","884739","929938","966777","999665","1026743","1052925"
"Population ages 65-69, male","Canada","239458","240263","241614","243826","247258","252029","255179","260782","268235","276526","285671","297757","304374","311468","320517","331799","341842","353690","365693","376134","385100","389131","390850","392053","396621","406066","416727","433237","452248","473072","490118","499227","505956","511282","517201","524311","528849","534836","540909","546578","552010","554313","556064","558292","565267","578770","594409","615189","641876","673780","709739","746335","791405","841812","891388","932621","961643","982541","1002010"
"Population ages 70-74, female","Canada","202950","204721","206682","210378","216176","223196","226625","230344","234688","239935","246903","256437","262260","269117","277580","287610","296376","305956","316401","328391","342989","355904","370481","384883","398093","409501","415730","421490","427152","438096","452909","466947","485362","505178","522797","535794","541571","543990","543858","543924","546003","546464","548133","549961","552769","556236","556768","557581","561090","569137","582559","598823","620916","647581","678600","712511","751537","796282","845243"
"Population ages 70-74, male","Canada","195167","194405","193507","193665","195321","198071","197609","197420","197862","199398","202947","210395","215529","222076","229945","238557","244972","250942","256991","264316","274143","283488","294313","304917","314107","321305","324804","327696","330807","338706","350381","361621","376147","392060","407311","420582","429312","436921","443618","450745","459205","465750","472736","479028","485107","490715","493003","494426","497900","505997","519913","536220","557542","582617","612123","646250","686524","734039","785973"
"Population ages 75-79, female","Canada","135932","141661","147114","151587","155109","158614","163727","169415","174770","179269","183712","189988","193079","196797","201871","208396","214241","220918","228246","236491","246469","254328","263002","272439","283368","295778","305103","317357","330874","345927","358869","364557","368085","371864","379385","391807","405287","422734","440947","456940","469622","476745","480809","482043","483468","486230","487983","490444","493439","496464","499655","499152","501736","507592","517737","531584","547996","568626","594887"
"Population ages 75-79, male","Canada","131211","134192","136268","137449","137993","138479","139880","141107","141703","141475","141153","143685","143384","143482","144972","148256","153105","158744","164714","170682","177002","182606","187668","192641","198608","205891","212984","222090","231797","241960","250053","253800","255511","257468","262523","271597","282323","295680","309882","323360","335689","346222","355274","362812","370453","378594","386577","394405","401835","408278","413874","415325","418450","424275","434327","448178","463585","482341","506396"
"Population ages 80 and above, female","Canada","127139","134292","140820","147318","153824","159794","168525","176589","184041","190763","197154","210139","217948","224660","230915","236768","248094","258257","267344","275908","285086","299176","311997","323292","334004","344750","359014","373200","386593","402075","417437","438490","458734","477522","494681","510121","528566","544782","559681","575766","594795","621565","648659","674447","699285","722522","748212","771006","793247","815361","837163","856245","873739","889347","903336","914644","932262","947968","965551"
"Population ages 80 and above, male","Canada","102894","109790","115395","119767","122749","123936","130254","135179","138407","139528","138630","146271","149107","149777","148556","145362","150691","154125","155751","156088","155818","164157","171221","176395","179785","181483","190492","198263","204297","210153","214622","228367","240614","250425","257284","261058","273457","283357","291147","298190","305446","325395","344703","362328","378514","393000","416105","437545","458390","478393","496960","518833","538514","555378","569140","579049","598723","615903","633129"
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Data from database: Health Nutrition and Population Statistics,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Last Updated: 09/25/2019,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
